"month","race_eth2","stname","emprate","nsamp"
2020-04-01,"Latino","Pennsylvania",0.136142413760718,90
2020-05-01,"Latino","Pennsylvania",0.217230402257152,77
2020-06-01,"Latino","Pennsylvania",0.129499608709209,74
2020-02-01,"Latino","Rhode Island",0.0725910474024968,59
2020-03-01,"Latino","Rhode Island",0.109617134945595,49
2020-04-01,"Latino","Rhode Island",0.219599121952472,47
2020-05-01,"Latino","Rhode Island",0.237309401671935,57
2020-06-01,"Latino","Rhode Island",0.127282294671963,53
2020-02-01,"Latino","South Carolina",0.0816047154185396,39
2020-02-01,"Latino","Tennessee",0.0370328456387574,66
2020-03-01,"Latino","Tennessee",0.0775602341618962,37
2020-04-01,"Latino","Tennessee",0.360040673271569,32
2020-05-01,"Latino","Tennessee",0.166065845250722,54
2020-06-01,"Latino","Tennessee",0.180043201241473,47
2020-02-01,"Latino","Texas",0.0473982165121875,1288
2020-03-01,"Latino","Texas",0.0594685819530377,1004
2020-04-01,"Latino","Texas",0.140202986240979,867
2020-05-01,"Latino","Texas",0.140205761921838,790
2020-06-01,"Latino","Texas",0.132501966554721,766
